Part Name,Quantity,Link,Link 2,Unit Price (cheaper of the two links),Total (CAD)
HSP 1:10 RC Car Front Differential Gearbox Assembly for 94111 94123 02051 02030 03015 Models,1,https://www.aliexpress.com/item/32785144165.html,,$11.50,$11.50
HSP 1:10 RC Car  Rear Differential Gearbox Assembly Upgrade Set for 94111 94123 02051 02030 03015 Model,1,https://www.aliexpress.com/item/32785144165.html,,$12.50,$12.50
HSP 166015 Universal Drive Joint Shaft For 1/10th ,1,https://www.amazon.ca/dp/B08SBXVM3T,,$16.00,$16.00
"Hex Mounts (12mm, 8mm thickness)",1,https://www.aliexpress.com/item/4001100802918.html,,$6.00,$6.00
170mm Central Drive Shaft With Cups,1,https://www.aliexpress.com/item/1005002029883656.html,https://www.aliexpress.com/item/1005004008554769.html,$6.00,$6.00
Spur Gears (21T & 64T) 11184 Steel Metal Spur HSP Car,1,https://www.aliexpress.com/item/4000545586084.html,https://www.aliexpress.com/item/1005008726909208.html,$5.00,$5.00
Motor (2850KV 3670) 3-4S Lipos,1,https://www.amazon.ca/GoolRC-S3670-2850KV-Brushless-Sensorless/dp/B08YD792LM,,$50.00,$50.00
ESC (120A) 2-3s (60km/h) 2-4s (100km/h),1,https://www.aliexpress.com/item/1005007728846589.html,,$30.00,$30.00
"Threaded Inserts (m2, m3, m4 sets)",1,https://www.amazon.ca/Heat-Set-Threaded-Inserts-Printing-Components/dp/B0DCJ4MXCM,,$14.00,$14.00
M4 Screw Assortment,1,https://www.amazon.ca/Hilitchi-300-Piece-Phillips-Assortment-stainless/dp/B01N4HPO2D,,$12.00,$12.00
M3 Screw Assortment,1,https://www.amazon.ca/gp/product/B01NBOCXHE,,$12.00,$12.00
INJORA RC Transmitter 2.4GHz 6CH Controler and Receiver,1,https://www.amazon.ca/INJORA-Transmitter-Controler-Receiver-Crawler/dp/B08SJW1TMC,https://www.aliexpress.com/item/1005005214765667.html,$30.00,$30.00
3s LIPO PURCHASE 4S FOR HIGHER POWER,1,https://www.amazon.ca/Zeee-Connector-Airplane-Helicopter-Quadcopter/dp/B0BZ46JRGJ,https://www.aliexpress.com/item/1005009205837699.html,$20.00,$20.00
Servo Motor (20kg) MG996R,1,https://www.amazon.ca/dp/B0769DFJVK,,$25.00,$25.00
10x15x4 bearings,1,https://www.amazon.ca/dp/B08B13CZR7?ref=,,$11.00,$11.00
5x10x4 bearings,1,https://www.amazon.ca/gp/product/B0C74XL9Y9/ref=,,$11.00,$11.00
130mm Tires,1,https://www.amazon.ca/Scale-Monster-Tires-Gravel-Spokes/dp/B01DU4N8YM/ref=s,,$26.00,$26.00
98mm Shock Absorbers,1,https://www.aliexpress.com/item/1005004264007439.html,,$12.00,$12.00
M4 Long Screws,1,https://www.amazon.ca/NIULUNBAO-Socket-Machine-Threaded-Assortment/dp/B0BJQ28WX7/ref,,$14.00,$14.00
,,,,,
,,,,,$324.00
,,,,,$234 USD
